"sampid","hid","isolate","datecollected"
"dzd-1145","6782624692977280000","2.0","10/21/2018"
"dzd-1146","3336066619910720000","1","10/21/2018"
"dzd-1147","3771476077817590000","1","10/21/2018"
"dzd-1148","228551922215409000","1","10/21/2018"
"dzd-1149","1771460077799590000","1","10/21/2018"
"dzd-115","8905513202254110000","1","8/13/2018"
"dzd-1150","6782615692862280000","1","10/21/2018"
"dzd-1151","228546922216409000","1","10/21/2018"
"dzd-1152","3771473077793590000","1","10/21/2018"
"dzd-1153","3771472077821590000","2.0","10/21/2018"
"dzd-1154","4221794356228030000","1","10/21/2018"
"dzd-1155","228551922215409000","1","10/21/2018"
"dzd-1156","3221781356226030000","1","10/21/2018"
"dzd-1157","6221795356117030000","1","10/21/2018"
"dzd-1158","3336065619914720000","3.0","10/21/2018"
"dzd-1159","3771479077797590000","3.0","10/21/2018"
"dzd-116","2105668412865570000","2.0","8/13/2018"
"dzd-1160","4771489077828590000","4.0","10/21/2018"
"dzd-1161","771451077772590000","1","10/21/2018"
"dzd-1162","2771473077792590000","1","10/21/2018"
"dzd-1163","1771463077782590000","1","10/21/2018"
"dzd-1164","6664112380804270000","1","10/21/2018"
"dzd-1165","8779011488386380000","1","10/21/2018"
"dzd-1166","8664103380688270000","1","10/21/2018"
"dzd-1167","6664113380810270000","1","10/21/2018"
"dzd-1168","7664093380682270000","1","10/21/2018"
"dzd-1169","6346465390467990000","2.0","10/21/2018"
"dzd-117","7105704412911570000","1","8/13/2018"
"dzd-1170","2221157512226610000","1","10/21/2018"
"dzd-1171","4221173512372610000","1","10/21/2018"
"dzd-1172","5653572609512000000","2.0","10/21/2018"
"dzd-1173","1221149512232610000","1","10/21/2018"
"dzd-1174","2778852487690380000","1","10/21/2018"
"dzd-1175","2221164512370610000","1","10/21/2018"
"dzd-1176","221142512215616000","1","10/21/2018"
"dzd-1177","5653573609513000000","1","10/21/2018"
"dzd-1178","5653573609515000000","1","10/21/2018"
"dzd-1179","778840487677383000","1","10/21/2018"
"dzd-118","1905361201558110000","1","8/13/2018"
"dzd-1180","778845487677383000","2.0","10/21/2018"
"dzd-1181","5653577609514000000","1","10/21/2018"
"dzd-1182","3346442390438990000","2.0","10/21/2018"
"dzd-1183","8096510477929650000","1","10/21/2018"
"dzd-1184","346446390542995000","1","10/21/2018"
"dzd-1185","6346466390463990000","1","10/21/2018"
"dzd-1186","3346442390434990000","1","10/21/2018"
"dzd-1187","6653588609507000000","1","10/21/2018"
"dzd-1188","5346451390343990000","1","10/21/2018"
"dzd-1189","6346466390464990000","3.0","10/21/2018"
"dzd-119","2105669412858570000","1","8/13/2018"
"dzd-1190","778838487671383000","1","10/21/2018"
"dzd-1191","2346435390316990000","2.0","10/21/2018"
"dzd-1192","778836487664383000","1","10/21/2018"
"dzd-1193","5664110380802270000","1","10/21/2018"
"dzd-1194","8779011488384380000","1","10/21/2018"
"dzd-1195","6653577609510000000","1","10/21/2018"
"dzd-1196","221147512213616000","2.0","10/21/2018"
"dzd-1197","2221165512368610000","1","10/21/2018"
"dzd-1198","5653574609521000000","2.0","10/21/2018"
"dzd-1199","778842487668383000","1","10/21/2018"
"dzd-12","8662897545031910000","1","7/30/2018"
"dzd-120","7905508202247110000","1","8/13/2018"
"dzd-1200","3221165512250610000","1","10/21/2018"
"dzd-1201","6653577609511000000","1","10/21/2018"
"dzd-1202","3221167512361610000","1","10/21/2018"
"dzd-1203","221147512221616000","1","10/21/2018"
"dzd-1204","778837487663383000","1","10/21/2018"
"dzd-1205","7350223595737890000","1","10/21/2018"
"dzd-1206","7350230595736890000","1","10/21/2018"
"dzd-1207","6350220595742890000","1","10/21/2018"
"dzd-1208","653556609451004000","1","10/21/2018"
"dzd-1209","346446390535995000","1","10/21/2018"
"dzd-121","1544850076136330000","1","8/13/2018"
"dzd-1210","778837487658383000","1","10/21/2018"
"dzd-1211","5653574609515000000","1","10/21/2018"
"dzd-1212","6350216595744890000","1","10/21/2018"
"dzd-1213","7350228595736890000","4.0","10/21/2018"
"dzd-1214","346446390548995000","4.0","10/21/2018"
"dzd-1215","221147512224616000","1","10/21/2018"
"dzd-1216","2346435390316990000","1","10/21/2018"
"dzd-1217","4099496838660130000","1","10/21/2018"
"dzd-1218","5221796356251030000","1","10/21/2018"
"dzd-1219","8779010488380380000","2.0","10/21/2018"
"dzd-122","6905504202252110000","1","8/13/2018"
"dzd-1220","9221798356158030000","1","10/21/2018"
"dzd-1221","4228559922250400000","1","10/21/2018"
"dzd-1222","6224926717520510000","1","10/21/2018"
"dzd-1223","4228562922261400000","2.0","10/21/2018"
"dzd-1224","5221798356234030000","3.0","10/21/2018"
"dzd-1225","5099514838675130000","1","10/21/2018"
"dzd-1226","9221808356154030000","1","10/21/2018"
"dzd-1227","8099534838711130000","1","10/21/2018"
"dzd-1228","4099506838660130000","1","10/21/2018"
"dzd-1229","4099495838659130000","1","10/21/2018"
"dzd-123","3898085792326320000","1","8/13/2018"
"dzd-1230","5099504838682130000","1","10/21/2018"
"dzd-1231","4099499838680130000","1","10/21/2018"
"dzd-1232","4099505838676130000","1","10/21/2018"
"dzd-1233","7221809356250030000","1","10/21/2018"
"dzd-1234","6346465390467990000","1","10/21/2018"
"dzd-1235","9099641839366130000","1","10/21/2018"
"dzd-1236","5221798356233030000","1","10/21/2018"
"dzd-1237","9221795356141030000","1","10/21/2018"
"dzd-1238","8224942717552510000","1","10/21/2018"
"dzd-1239","8224939717543510000","1","10/21/2018"
"dzd-124","3898093792336320000","1","8/13/2018"
"dzd-1240","7221805356262030000","1","10/21/2018"
"dzd-1241","5221800356238030000","1","10/21/2018"
"dzd-1242","221140512220616000","3.0","10/21/2018"
"dzd-1243","6221802356259030000","2.0","10/21/2018"
"dzd-1244","5221797356236030000","1","10/21/2018"
"dzd-1245","4228563922266400000","1","10/21/2018"
"dzd-1246","8099534838708130000","1","10/21/2018"
"dzd-1247","8347097234339410000","2.0","10/21/2018"
"dzd-1248","9221807356149030000","1","10/21/2018"
"dzd-1249","7224928717535510000","1","10/21/2018"
"dzd-125","544849076127331000","1","8/13/2018"
"dzd-1250","6224921717528510000","1","10/21/2018"
"dzd-1251","2336057619915720000","4.0","10/21/2018"
"dzd-1252","3336066619910720000","1","10/21/2018"
"dzd-1253","3221779356108030000","1","10/21/2018"
"dzd-1254","5221788356118030000","1","10/21/2018"
"dzd-1255","7224924717549510000","1","10/21/2018"
"dzd-1256","5221801356253030000","1","10/21/2018"
"dzd-1257","3336069619921720000","9.0","10/21/2018"
"dzd-1258","228546922218409000","1","10/21/2018"
"dzd-1259","1771471077795590000","3.0","10/21/2018"
"dzd-126","455167923882668000","1","8/13/2018"
"dzd-1260","4771482077813590000","3.0","10/21/2018"
"dzd-1261","4228556922137400000","1","10/21/2018"
"dzd-1262","771453077784590000","1","10/21/2018"
"dzd-1263","5221801356250030000","1","10/21/2018"
"dzd-1264","6221795356125030000","1","10/21/2018"
"dzd-1265","9106690515795400000","1","11/5/2018"
"dzd-1266","9106690515795400000","2.0","11/5/2018"
"dzd-1267","7106703515915400000","2.0","11/5/2018"
"dzd-1268","7106703515920400000","3.0","11/5/2018"
"dzd-1269","7106705515905400000","1","11/5/2018"
"dzd-127","1455176923909660000","1","8/13/2018"
"dzd-1270","5775434015761000000","1","11/5/2018"
"dzd-1271","1332503147297350000","2.0","11/5/2018"
"dzd-1272","1332503147297350000","1","11/5/2018"
"dzd-1273","6988814047726820000","1","11/5/2018"
"dzd-1274","6775438015774000000","2.0","11/5/2018"
"dzd-1275","6106689515766400000","1","11/5/2018"
"dzd-1276","7114080925664200000","1","11/5/2018"
"dzd-1277","1332501147319350000","1","11/5/2018"
"dzd-1278","8114097925799200000","1","11/5/2018"
"dzd-1279","2671136057210540000","1","11/5/2018"
"dzd-128","905347201536115000","2.0","8/13/2018"
"dzd-1280","2671136057210540000","2.0","11/5/2018"
"dzd-1281","1332493147303350000","1","11/5/2018"
"dzd-1282","1332505147302350000","1","11/5/2018"
"dzd-1283","2328877942706450000","2.0","11/5/2018"
"dzd-1284","2328877942706450000","1","11/5/2018"
"dzd-1285","8114099925812200000","1","11/5/2018"
"dzd-1286","5114073925770200000","1","11/5/2018"
"dzd-1287","5114073925770200000","2.0","11/5/2018"
"dzd-1288","8988800047482820000","1","11/5/2018"
"dzd-1289","6106692515780400000","1","11/5/2018"
"dzd-129","6898113792346320000","1","8/13/2018"
"dzd-1290","1110317720489300000","1","11/5/2018"
"dzd-1291","8106715515927400000","1","11/5/2018"
"dzd-1292","2904259366532760000","1","11/5/2018"
"dzd-1293","2904259366532760000","2.0","11/5/2018"
"dzd-1294","2904259366532760000","3.0","11/5/2018"
"dzd-1295","2904259366532760000","5.0","11/5/2018"
"dzd-1296","7340040557893140000","1","11/5/2018"
"dzd-1297","1332504147298350000","1","11/5/2018"
"dzd-1298","6988810047603820000","1","11/5/2018"
"dzd-1299","6988808047591820000","1","11/5/2018"
"dzd-13","3662887545115910000","1","7/30/2018"
"dzd-130","8105811413557570000","1","8/13/2018"
"dzd-1300","6988810047602820000","1","11/5/2018"
"dzd-1301","8988801047497820000","1","11/5/2018"
"dzd-1302","7988794047480820000","1","11/5/2018"
"dzd-1303","6988816047735820000","1","11/5/2018"
"dzd-1304","8114088925686200000","1","11/5/2018"
"dzd-1305","7988792047465820000","1","11/5/2018"
"dzd-1306","7988792047465820000","1","11/5/2018"
"dzd-1307","6988812047710820000","1","11/5/2018"
"dzd-1308","9106694515810400000","1","11/5/2018"
"dzd-1309","4889711279453690000","1","11/5/2018"
"dzd-131","8905515202264110000","1","8/13/2018"
"dzd-1310","3904268366530760000","2.0","11/5/2018"
"dzd-1311","3904268366530760000","1","11/5/2018"
"dzd-1312","3904274366528760000","1","11/5/2018"
"dzd-1313","9106693515801400000","2.0","11/5/2018"
"dzd-1314","9106693515801400000","3.0","11/5/2018"
"dzd-1315","8332653148005350000","1","11/5/2018"
"dzd-1316","3671139057229540000","3.0","11/5/2018"
"dzd-1317","3671139057229540000","2.0","11/5/2018"
"dzd-1318","1328865942681450000","2.0","11/5/2018"
"dzd-1319","1328865942681450000","1","11/5/2018"
"dzd-132","544848076124331000","1","8/13/2018"
"dzd-1320","328857942666454000","2.0","11/5/2018"
"dzd-1321","328857942666454000","1","11/5/2018"
"dzd-1322","2671136057215540000","1","11/5/2018"
"dzd-1323","3671149057237540000","1","11/5/2018"
"dzd-1324","8332659148006350000","1","11/5/2018"
"dzd-1325","9106693515801400000","1","11/5/2018"
"dzd-1326","9114107925822200000","1","11/5/2018"
"dzd-1327","6775433015761000000","1","11/5/2018"
"dzd-1328","6114076925667200000","1","11/5/2018"
"dzd-1329","8114101925816200000","1","11/5/2018"
"dzd-133","2340890660084970000","2.0","8/13/2018"
"dzd-1330","8332652148010350000","1","11/5/2018"
"dzd-1331","7114081925663200000","1","11/5/2018"
"dzd-1332","2671134057231540000","3.0","11/5/2018"
"dzd-1333","2671134057231540000","2.0","11/5/2018"
"dzd-1334","6775433015760000000","1","11/5/2018"
"dzd-1335","1328876942811450000","1","11/5/2018"
"dzd-1336","8114094925815200000","1","11/5/2018"
"dzd-1337","8114094925813200000","1","11/5/2018"
"dzd-1338","1332505147308350000","1","11/5/2018"
"dzd-1339","5114074925782200000","1","11/5/2018"
"dzd-134","5544988076797330000","1","8/13/2018"
"dzd-1340","5114074925782200000","1","11/5/2018"
"dzd-1341","8114099925815200000","1","11/5/2018"
"dzd-1342","2328877942704450000","1","11/5/2018"
"dzd-1343","7114090925789200000","1","11/5/2018"
"dzd-1344","8114094925812200000","1","11/5/2018"
"dzd-1345","1904146365886760000","3.0","11/5/2018"
"dzd-1346","1904146365886760000","1","11/5/2018"
"dzd-1347","1904146365886760000","1","11/5/2018"
"dzd-1348","1904146365886760000","1","11/5/2018"
"dzd-1349","9114107925823200000","1","11/5/2018"
"dzd-135","8905507202248110000","3.0","8/13/2018"
"dzd-1350","7332648147996350000","1","11/5/2018"
"dzd-1351","1332501147320350000","1","11/5/2018"
"dzd-1352","7114089925807200000","1","11/5/2018"
"dzd-1353","3904274366528760000","2.0","11/5/2018"
"dzd-1354","3904274366528760000","1","11/5/2018"
"dzd-1355","1904148365873760000","2.0","11/5/2018"
"dzd-1356","1904148365873760000","1","11/5/2018"
"dzd-1357","5775431015766000000","1","11/5/2018"
"dzd-1358","5114078925771200000","1","11/5/2018"
"dzd-1359","5775431015766000000","1","11/5/2018"
"dzd-136","1544840076115330000","1","8/13/2018"
"dzd-1360","2328880942815450000","1","11/5/2018"
"dzd-1361","3671149057234540000","1","11/5/2018"
"dzd-1362","671149057346545000","1","11/5/2018"
"dzd-1363","4671143057231540000","1","11/5/2018"
"dzd-1364","6106691515784400000","1","11/5/2018"
"dzd-1365","1328871942694450000","1","11/5/2018"
"dzd-1366","1889688279424690000","1","11/5/2018"
"dzd-1367","4671146057253540000","1","11/5/2018"
"dzd-1368","6775436015775000000","1","11/5/2018"
"dzd-1369","2671132057214540000","2.0","11/5/2018"
"dzd-137","455166923878668000","1","8/13/2018"
"dzd-1370","2328872942702450000","1","11/5/2018"
"dzd-1371","5775429015755000000","2.0","11/5/2018"
"dzd-1372","1671149057352540000","1","11/5/2018"
"dzd-1373","1671149057352540000","2.0","11/5/2018"
"dzd-1374","1328871942691450000","1","11/5/2018"
"dzd-1375","7904276366441760000","1","11/5/2018"
"dzd-1376","1889688279424690000","4.0","11/5/2018"
"dzd-1377","2671132057214540000","1","11/5/2018"
"dzd-1378","1328865942691450000","1","11/5/2018"
"dzd-1379","6340027557876140000","3.0","11/5/2018"
"dzd-138","2340894660202970000","2.0","8/13/2018"
"dzd-1380","6340027557876140000","2.0","11/5/2018"
"dzd-1381","6340027557876140000","1","11/5/2018"
"dzd-1382","4671149057234540000","1","11/5/2018"
"dzd-1383","5106686515771400000","1","11/5/2018"
"dzd-1384","4671149057236540000","1","11/5/2018"
"dzd-1385","7340039557884140000","1","11/5/2018"
"dzd-1386","4671156057250540000","1","11/5/2018"
"dzd-1387","6106693515896400000","1","11/5/2018"
"dzd-1388","2671130057212540000","1","11/5/2018"
"dzd-1389","4671156057244540000","1","11/5/2018"
"dzd-139","3544861076153330000","1","8/13/2018"
"dzd-1390","3671138057237540000","1","11/5/2018"
"dzd-1391","3671141057217540000","1","11/5/2018"
"dzd-1392","4671147057233540000","1","11/5/2018"
"dzd-1393","3671148057235540000","1","11/5/2018"
"dzd-1394","2671134057226540000","1","11/5/2018"
"dzd-1395","5106684515774400000","1","11/5/2018"
"dzd-1396","3889709279568690000","3.0","11/5/2018"
"dzd-1397","3889709279568690000","1","11/5/2018"
"dzd-1398","3889709279568690000","2.0","11/5/2018"
"dzd-1399","1889689279415690000","2.0","11/5/2018"
"dzd-14","3337273455594080000","1","7/30/2018"
"dzd-140","1544848076134330000","1","8/13/2018"
"dzd-1400","671136057208545000","1","11/5/2018"
"dzd-1401","6106703515913400000","1","11/5/2018"
"dzd-1402","8904283366460760000","1","11/5/2018"
"dzd-1403","328860942684454000","1","11/5/2018"
"dzd-1404","1671154057345540000","1","11/5/2018"
"dzd-1405","7904272366449760000","2.0","11/5/2018"
"dzd-1406","7106705515911400000","1","11/5/2018"
"dzd-1407","671149057341545000","1","11/5/2018"
"dzd-1408","1889688279424690000","2.0","11/5/2018"
"dzd-1409","3014992157627070000","1","11/5/2018"
"dzd-141","6905504202252110000","1","8/13/2018"
"dzd-1410","4988789047566820000","1","11/5/2018"
"dzd-1411","3014993157637070000","1","11/5/2018"
"dzd-1412","328861942689454000","1","11/5/2018"
"dzd-1413","1014983157620070000","2.0","11/5/2018"
"dzd-1414","6988814047724820000","1","11/5/2018"
"dzd-1415","2014990157738070000","1","11/5/2018"
"dzd-1416","4988798047584820000","1","11/5/2018"
"dzd-1417","2014993157747070000","1","11/5/2018"
"dzd-1418","8988809047616820000","1","11/5/2018"
"dzd-1419","7015003157677070000","1","11/5/2018"
"dzd-142","544841076123331000","1","8/13/2018"
"dzd-1420","7015003157673070000","1","11/5/2018"
"dzd-1421","8457926026077730000","1","11/5/2018"
"dzd-1422","2457907026153730000","1","11/5/2018"
"dzd-1423","8015003157558070000","1","11/5/2018"
"dzd-1424","8457940026213730000","2.0","11/5/2018"
"dzd-1425","1014983157620070000","1","11/5/2018"
"dzd-1426","1014983157620070000","2.0","11/5/2018"
"dzd-1427","2985029842281920000","1","11/5/2018"
"dzd-1428","5014994157647070000","3.0","11/5/2018"
"dzd-1429","5014994157647070000","1","11/5/2018"
"dzd-143","5905487202243110000","2.0","8/13/2018"
"dzd-1430","1985018842274920000","1","11/5/2018"
"dzd-1431","2985020842286920000","1","11/5/2018"
"dzd-1432","2457909026165730000","1","11/5/2018"
"dzd-1433","4988801047696820000","1","11/5/2018"
"dzd-1434","5988810047723820000","1","11/5/2018"
"dzd-1435","1332504147310350000","1","11/5/2018"
"dzd-1436","5988804047591820000","1","11/5/2018"
"dzd-1437","2457906026151730000","1","11/5/2018"
"dzd-1438","332486147288350000","1","11/5/2018"
"dzd-1439","4988789047563820000","1","11/5/2018"
"dzd-144","4780075323371730000","1","8/13/2018"
"dzd-1440","8988803047605820000","1","11/5/2018"
"dzd-1441","8457936026094730000","1","11/5/2018"
"dzd-1442","8457936026094730000","1","11/5/2018"
"dzd-1443","8988802047599820000","1","11/5/2018"
"dzd-1444","7988794047485820000","1","11/5/2018"
"dzd-1445","8457939026212730000","1","11/5/2018"
"dzd-1446","8457939026212730000","2.0","11/5/2018"
"dzd-1447","4988798047586820000","1","11/5/2018"
"dzd-1448","8114101925818200000","1","11/5/2018"
"dzd-1449","3457912026163730000","1","11/5/2018"
"dzd-145","4105679412873570000","1","8/13/2018"
"dzd-1450","3988788047561820000","1","11/5/2018"
"dzd-1451","5988805047701820000","1","11/5/2018"
"dzd-1452","8457940026213730000","1","11/5/2018"
"dzd-1453","4988798047584820000","1","11/5/2018"
"dzd-1454","8114101925819200000","1","11/5/2018"
"dzd-1455","5114079925775200000","1","11/5/2018"
"dzd-1456","1332502147316350000","2.0","11/5/2018"
"dzd-1457","897092689418488000","1","11/14/2018"
"dzd-1458","2014993157754070000","2.0","11/14/2018"
"dzd-1459","8457937026203730000","1","11/14/2018"
"dzd-146","3905371201562110000","2.0","8/13/2018"
"dzd-1460","8988801047490820000","1","11/14/2018"
"dzd-1461","6014987157517070000","2.0","11/14/2018"
"dzd-1462","2985019842284920000","1","11/14/2018"
"dzd-1463","897092689417488000","1","11/14/2018"
"dzd-1464","3014998157758070000","1","11/14/2018"
"dzd-1465","4014975157500070000","3.0","11/14/2018"
"dzd-1466","4014975157500070000","2.0","11/14/2018"
"dzd-1467","8015009157685070000","1","11/14/2018"
"dzd-1468","2014994157753070000","2.0","11/14/2018"
"dzd-1469","2014994157753070000","1","11/14/2018"
"dzd-147","6544993076806330000","1","8/13/2018"
"dzd-1470","3457927026177730000","1","11/14/2018"
"dzd-1471","2985021842288920000","2.0","11/14/2018"
"dzd-1472","2985021842288920000","1","11/14/2018"
"dzd-1473","3014998157758070000","2.0","11/14/2018"
"dzd-1474","3014995157644070000","1","11/14/2018"
"dzd-1475","7015007157664070000","5.0","11/14/2018"
"dzd-1476","4988800047698820000","1","11/14/2018"
"dzd-1477","3457927026180730000","1","11/14/2018"
